account_no,tranpostdt,account_type,address_line1,address_line2,address_type,amount,amount_type,bucket,cardnum,city,country_code,country_name,customers,first_name,full_name,last_name,location,merchantctgydesc,merchantctygcd,merchantname,middle_name,origtranamt,referencekeytype,referencekeyvalue,solr_query,state_abbreviation,tags,tranamt,trancd,trandescription,tranexpdt,tranid,traninitdt,transrespcd,transrespdesc,transresptype,transrsncd,transrsndesc,transrsntype,transtat,trantype,zipcode,zipcode4
d93a6357-86cf-4a8d-aef2-0d57eb1240e4,2017-09-19 13:34:42.313+0000,,Line1-1032111,,Residence,65.927906768567,Credit,1,7d31bb26-ee45-42c6-bed5-93dd7b41f098,Minneapolis,00,USA,,Catherine,Catherine Ann 32111,32111,Duluth,Fast Food Restaurants,5814,Pizza Hut,Ann,65.92790676856686,reftype,thisRef,,MN,"{'Eating out', 'Work'}",65.927906768567,tranCd1,this is the transaction description,2017.09.19.08.34.42,a84a8ee7-d0c0-4076-a3b0-383444c755a7,2017-09-19 13:34:42.313+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,55401,55401-1234
9e569a7e-c2f7-4345-8633-4a50006500b8,2017-09-17 09:05:23.996+0000,,Line1-1022610,,Residence,125.619325007619,Credit,1,923c67c6-e0bd-45b7-b8dc-d40ea20e5c25,Chicago,00,USA,,Jason,Jason Paul 22610,22610,Minneapolis,Supermarkets,5411,Cub Foods,Paul,125.61932500761853,reftype,thisRef,,IL,"{'Home', 'Shopping'}",125.619325007619,tranCd1,this is the transaction description,2017.09.17.04.05.23,9babc8dd-5307-486f-8827-902be777f1e3,2017-09-17 09:05:23.996+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,60601,60601-1234
f45a4577-9066-448e-89db-42bc8e4f0340,2017-09-16 19:13:33.555+0000,,Line1-1072937,,Residence,87.939743178691,Credit,1,bcde820d-d824-413d-a661-1842ff171593,Bloomington,00,USA,,Luis,Luis Javier 72937,72937,Bloomington,Lumber and Building Materials Stores,5211,Lowes,Javier,87.93974317869115,reftype,thisRef,,MN,"{'Diy', 'Work'}",87.939743178691,tranCd1,this is the transaction description,2017.09.16.14.13.33,78514f87-dce0-4978-8700-019c05ffd05d,2017-09-16 19:13:33.555+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,55435,55435-1234
12b30614-d03c-4651-aff6-964b38faf30c,2017-09-16 08:46:15.820+0000,,Line1-1097947,,Residence,122.83965483733,Credit,1,96bd08c2-316c-4d03-b26e-c314f5d90206,Bloomington,00,USA,,Luis,Luis Javier 97947,97947,Minneapolis,Grocery Stores,5411,Spar,Javier,122.83965483732953,reftype,thisRef,,MN,"{'Shopping', 'Work'}",122.83965483733,tranCd1,this is the transaction description,2017.09.16.03.46.15,6fdded5c-7ac8-4e41-abe3-9c758d534bab,2017-09-16 08:46:15.820+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,55435,55435-1234
813a11c9-fb3f-4e29-b337-6179a7a7a768,2017-09-19 21:15:20.212+0000,,Line1-1094887,,Residence,206.556015674217,Credit,1,1e2553f5-f6aa-4d9b-828b-d461988f6898,Bloomington,00,USA,,Luis,Luis Javier 94887,94887,Minneapolis,Grocery Stores,5411,Spar,Javier,206.55601567421678,reftype,thisRef,,MN,"{'Shopping', 'Work'}",206.556015674217,tranCd1,this is the transaction description,2017.09.19.16.15.20,e1308b03-d14d-4903-a198-b6de765711cc,2017-09-19 21:15:20.212+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,55435,55435-1234
813a11c9-fb3f-4e29-b337-6179a7a7a768,2017-09-16 09:30:14.287+0000,,Line1-1094887,,Residence,29.53148811219,Credit,1,8bf17558-08e6-4d5e-b75b-f7374764b2ed,Bloomington,00,USA,,Luis,Luis Javier 94887,94887,Minneapolis,Mail Order Houses,5961,Argos,Javier,29.531488112190086,reftype,thisRef,,MN,"{'Household', 'Work'}",29.53148811219,tranCd1,this is the transaction description,2017.09.16.04.30.14,b71e2e8d-5060-4b79-bbd0-77c5afba5242,2017-09-16 09:30:14.287+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,55435,55435-1234
1145f59a-74eb-4fa3-9385-e63e9082954d,2017-09-16 13:39:46.679+0000,,Line1-1065032,,Residence,96.015417870472,Debit,1,4ad3a628-8d77-408f-8d74-72a47fe052e0,St. Paul,00,USA,,Esmeralda,Esmeralda Mary 65032,65032,Edina,Grocery Stores,5411,Tesco,Mary,96.01541787047222,reftype,thisRef,,MN,"{'Home', 'Shopping'}",96.015417870472,tranCd1,this is the transaction description,2017.09.16.08.39.46,491931a0-a3ee-4be6-989f-59f8e358f34e,2017-09-16 13:39:46.679+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,55101,55101-1234
a5638ff1-f13c-401f-be03-20de2b6109d5,2017-09-18 20:38:25.092+0000,,Line1-1011820,,Residence,235.918137600758,Credit,1,55dad506-d841-4976-ba3c-f2268ee0f3dd,Chicago,00,USA,,Jason,Jason Paul 11820,11820,Rockford,Miscellaneous Home Furnishing Specialty Stores,5719,B&Q,Paul,235.91813760075792,reftype,thisRef,,IL,"{'Diy', 'Home'}",235.918137600758,tranCd1,this is the transaction description,2017.09.18.15.38.25,9560c19c-934e-48f8-b05b-72f9a339f471,2017-09-18 20:38:25.092+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,60601,60601-1234
85bddc48-0bdb-4016-8d0b-ba8b67e0f110,2017-09-19 20:47:24.539+0000,,Line1-1041710,,Residence,127.119453920079,Credit,1,3b785a43-2eba-403c-bb8e-30420096e841,Chicago,00,USA,,Jason,Jason Paul 41710,41710,Champaign,Fast Food Restaurants,5814,Pizza Hut,Paul,127.11945392007931,reftype,thisRef,,IL,"{'Eating out', 'Work'}",127.119453920079,tranCd1,this is the transaction description,2017.09.19.15.47.24,f2b21ce2-317a-405a-ac97-d43e062abbcb,2017-09-19 20:47:24.539+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,60601,60601-1234
6fe800ec-9555-4cf0-aab4-2fe3e8ec67cc,2017-09-18 07:55:02.700+0000,,Line1-1084738,Apt 1084738,Apartment,63.804895874139,Credit,1,5650f50d-5e04-4b21-a272-82e6316f8642,Rockford,00,USA,,Igor,Igor Golov 84738,84738,Bloomington,Fast Food Restaurants,5814,Pizza Hut,Golov,63.804895874139206,reftype,thisRef,,MN,"{'Eating out', 'Work'}",63.804895874139,tranCd1,this is the transaction description,2017.09.18.02.55.02,b5267358-c057-4ed0-a1f0-b12a47144ef0,2017-09-18 07:55:02.700+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,61101,61101-1234
db31396c-cccf-4873-92fc-f9daac928032,2017-09-20 19:16:08.761+0000,,Line1-1037929,Apt 1037929,Apartment,55.383631593727,Credit,1,ea4c5e38-aa38-450e-8581-2144d5c6b2fd,Champaign,00,USA,,Angela,Angela Eliza 37929,37929,Duluth,Miscellaneous Home Furnishing Specialty Stores,5719,B&Q,Eliza,55.3836315937272,reftype,thisRef,,IL,"{'Diy', 'Home'}",55.383631593727,tranCd1,this is the transaction description,2017.09.20.14.16.08,05c7fe81-a34f-4ead-9948-e3d38a7f9740,2017-09-20 19:16:08.761+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,16821,16821-1234
90444622-82d4-4b12-a8ea-45e00668cb5c,2017-09-17 09:06:36.226+0000,,Line1-1068137,,Residence,86.124476247005,Credit,1,547f9b26-bdc0-47bd-aad3-27690e9f271e,Bloomington,00,USA,,Luis,Luis Javier 68137,68137,Plymouth,Book Stores,5942,BarnesNoble,Javier,86.1244762470049,reftype,thisRef,,MN,"{'Travel', 'Work'}",86.124476247005,tranCd1,this is the transaction description,2017.09.17.04.06.36,0b63c193-a1b4-48ce-960b-13b4b4bfe32b,2017-09-17 09:06:36.226+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,55435,55435-1234
46d6447b-3261-40cb-a418-06c57e97644e,2017-09-18 22:56:33.120+0000,,Line1-1042336,,Residence,57.762799524571,Credit,1,02cf82aa-de0f-48aa-8ef5-72cc521ecbe2,Bloomington,00,USA,,Miles,Miles John 42336,42336,Duluth,Family Clothing Stores,5651,Next,John,57.76279952457082,reftype,thisRef,,IL,"{'Clothes', 'Work'}",57.762799524571,tranCd1,this is the transaction description,2017.09.18.17.56.33,ef2a045e-620b-4e2a-bd42-0fe5cb9af310,2017-09-18 22:56:33.120+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,61704,61704-1234
40ebf8b2-909d-493e-a6f3-93e4147c143a,2017-09-20 09:43:23.169+0000,,Line1-1087236,,Residence,79.035369151582,Credit,1,bbc769e0-9497-47d8-9d0c-cbc95898ccd1,Bloomington,00,USA,,Miles,Miles John 87236,87236,Rockford,Mail Order Houses,5961,Argos,John,79.03536915158188,reftype,thisRef,,IL,"{'Household', 'Work'}",79.035369151582,tranCd1,this is the transaction description,2017.09.20.04.43.23,54257138-5ddb-428d-9b66-53240e6f035b,2017-09-20 09:43:23.169+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,61704,61704-1234
8b4764e4-24a8-4bc1-9fbd-a2610df736c8,2017-09-19 00:44:30.305+0000,,Line1-1075403,,Mobile,14.636372019662,Debit,1,5e9429ac-0470-4edf-a780-b902f42f8f2b,Plymouth,00,USA,,Marcus,Marcus Joseph 75403,75403,Duluth,Grocery Stores,5411,Sainsbury,Joseph,14.636372019662458,reftype,thisRef,,MN,"{'Home', 'Shopping'}",14.636372019662,tranCd1,this is the transaction description,2017.09.18.19.44.30,0ffd782f-809a-4161-ac93-348591007864,2017-09-19 00:44:30.305+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,55441,55441-1234
ffdf23e2-93df-4a67-a545-537f5ac8cc2d,2017-09-19 12:42:01.268+0000,,Line1-1002351,,Residence,78.074755187725,Credit,1,865b8553-efb3-4f5d-80cd-5561af4bc956,Minneapolis,00,USA,,Catherine,Catherine Ann 02351,02351,Chicago,Mail Order Houses,5961,Argos,Ann,78.07475518772475,reftype,thisRef,,MN,"{'Household', 'Work'}",78.074755187725,tranCd1,this is the transaction description,2017.09.19.07.42.01,79c8e7db-284c-4a20-9ffa-1d0968723da2,2017-09-19 12:42:01.268+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,55401,55401-1234
fe5c3162-f8d6-4c25-b651-07ca39393614,2017-09-18 04:28:32.801+0000,,Line1-1012628,Apt 1012628,Apartment,156.607756246958,Credit,1,b2a40d94-ec9a-4aab-9e7d-3f5ec464b97d,Rockford,00,USA,,Igor,Igor Golov 12628,12628,Champaign,Discount Stores,5310,Amazon,Golov,156.60775624695796,reftype,thisRef,,MN,"{'Amazon', 'Home'}",156.607756246958,tranCd1,this is the transaction description,2017.09.17.23.28.32,5a904761-beae-4801-b92f-0d097e9781cc,2017-09-18 04:28:32.801+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,61101,61101-1234
2eb3fdfd-c6f9-4474-9f80-98fda9f11c1b,2017-09-17 13:24:36.977+0000,,Line1-1006954,,Residence,123.457469128259,Debit,1,2292a55f-4266-4d1d-8e32-5a31663ebb96,Edina,00,USA,,Louisa,Louisa Amy 06954,06954,Edina,Misc. Food Stores – Convenience Stores and Specialty Markets,5499,Morrisons,Amy,123.45746912825891,reftype,thisRef,,MN,"{'Home', 'Shopping'}",123.457469128259,tranCd1,this is the transaction description,2017.09.17.08.24.36,7c088208-f2b3-4200-983d-7ff36dbba0eb,2017-09-17 13:24:36.977+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,55435,55435-1234
fcec00cc-d14b-4bb7-b9a2-77806dd5ac94,2017-09-17 07:23:51.061+0000,,Line1-1009614,,Residence,47.279488511683,Credit,1,e57cd71c-7502-45e3-98f6-50164e00c15e,Edina,00,USA,,Louisa,Louisa Amy 09614,09614,Minneapolis,"Drinking Places, Bars, Taverns, Cocktail lounges, Nightclubs and Discotheques",5813,Local Pub,Amy,47.27948851168319,reftype,thisRef,,MN,"{'Eating out', 'Work'}",47.279488511683,tranCd1,this is the transaction description,2017.09.17.02.23.51,d0de17f6-c3a2-4210-a179-499497eb326a,2017-09-17 07:23:51.061+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,55435,55435-1234
f44136c9-d5b1-494d-9ec4-d36217e3eb5a,2017-09-18 03:09:40.460+0000,,Line1-1033759,Apt 1033759,Apartment,36.04236997444,Credit,1,50f4fae7-e6fd-49e3-9597-7a53d0f90294,Champaign,00,USA,,Angela,Angela Eliza 33759,33759,Champaign,Book Stores,5942,BarnesNoble,Eliza,36.04236997444015,reftype,thisRef,,IL,"{'Travel', 'Work'}",36.04236997444,tranCd1,this is the transaction description,2017.09.17.22.09.40,12bed31d-9026-4188-aab9-290f2ef1c618,2017-09-18 03:09:40.460+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,16821,16821-1234
3ea9624a-74c7-4c25-b1e0-76082db9839c,2017-09-19 08:33:19.067+0000,,Line1-1011616,,Residence,185.862969949607,Credit,1,c84db5f9-dd12-4f33-9689-ef4f824c99da,Bloomington,00,USA,,Miles,Miles John 11616,11616,Champaign,Family Clothing Stores,5651,Next,John,185.86296994960725,reftype,thisRef,,IL,"{'Clothes', 'Work'}",185.862969949607,tranCd1,this is the transaction description,2017.09.19.03.33.19,8413c051-d471-42c3-87b7-c3185a758ce0,2017-09-19 08:33:19.067+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,61704,61704-1234
6a7ce1ce-c7bf-4ec1-bac4-70d30547e7d4,2017-09-19 04:05:10.907+0000,,Line1-1040455,,Residence,132.594982065592,Credit,1,00e22833-b78f-4269-973c-a3c20906ae23,Duluth,00,USA,,Julia,Julia Elizabeth 40455,40455,Minneapolis,Supermarkets,5411,Cub Foods,Elizabeth,132.59498206559158,reftype,thisRef,,MN,"{'Home', 'Shopping'}",132.594982065592,tranCd1,this is the transaction description,2017.09.18.23.05.10,855a1343-63da-4588-abf5-f8e796fa2bfb,2017-09-19 04:05:10.907+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,55802,55802-1234
b39f3f98-162f-4712-8fb0-0da2e260e0be,2017-09-20 19:59:49.844+0000,,Line1-1052374,,Residence,31.436377963636,Credit,1,0e32318c-33f1-400e-9ac0-306d267b4936,Edina,00,USA,,Louisa,Louisa Amy 52374,52374,Edina,Family Clothing Stores,5651,Next,Amy,31.436377963635532,reftype,thisRef,,MN,"{'Clothes', 'Work'}",31.436377963636,tranCd1,this is the transaction description,2017.09.20.14.59.49,763bd690-c18e-4ff1-b23f-627c61cca3a4,2017-09-20 19:59:49.844+0000,transRespCd,transRespDesc,transRespType,transRsnCd1,transRsnDesc,transRsnType,OK,TranTyp1,55435,55435-1234
